source_school_name,normalized_school_name,possible_match_1,possible_match_1_sveitarfelag,possible_match_1_score,possible_match_2,possible_match_2_sveitarfelag,possible_match_2_score,in_althingi_graduates,in_althingi_framhaldsskoli_grunnskoli,in_althingi_grunnskoli_grades,in_hagstofa_student_counts,in_hagstofa_10th_grade_counts,notes
Reykholtsskóli,reykholtsskoli,Reykhólaskóli,Reykhólahreppur,0.889,Breiðholtsskóli,Reykjavíkurborg,0.828,false,false,false,true,true,No exact or high-confidence fuzzy match accepted.
Reykjavík International School,reykjavik international school,,,,,,,false,false,false,true,true,No exact or high-confidence fuzzy match accepted.
Safamýrarskóli,safamyrarskoli,Álftamýrarskóli,Reykjavíkurborg,0.897,,,,false,false,false,true,true,No exact or high-confidence fuzzy match accepted.
Sandgerðisskóli,sandgerdisskoli,,,,,,,true,true,true,true,true,No exact or high-confidence fuzzy match accepted.
Sandvíkurskóli,sandvikurskoli,Súðavíkurskóli,Súðavík,0.857,Víkurskóli,Reykjavíkurborg,0.833,false,false,false,true,true,No exact or high-confidence fuzzy match accepted.
Seljalandsskóli,seljalandsskoli,Sjálandsskóli,Garðabær,0.929,Snælandsskóli,Kópavogsbær,0.828,false,false,false,true,true,No exact or high-confidence fuzzy match accepted.
Sólgarðaskóli,solgardaskoli,Garðaskóli,Garðabær,0.870,Foldaskóli,Reykjavíkurborg,0.783,false,false,false,true,true,No exact or high-confidence fuzzy match accepted.
Sólvallaskóli,solvallaskoli,Vallaskóli,Sveitarfélagið Árborg,0.870,Salaskóli,Kópavogsbær,0.818,false,false,false,true,true,No exact or high-confidence fuzzy match accepted.
Steinsstaðaskóli,steinsstadaskoli,Egilsstaðaskóli,Múlaþing (Fljótsdalshérað),0.839,,,,false,false,false,true,true,No exact or high-confidence fuzzy match accepted.
Stöðvarfjarðarskóli,stodvarfjardarskoli,Öxarfjarðarskóli,Norðurþing,0.857,,,,true,false,false,false,false,No exact or high-confidence fuzzy match accepted.
Þingborgarskóli,thingborgarskoli,,,,,,,false,false,false,true,true,No exact or high-confidence fuzzy match accepted.
Þykkvabæjarskóli,thykkvabaejarskoli,,,,,,,false,false,false,true,true,No exact or high-confidence fuzzy match accepted.
Vættaskóli,vaettaskoli,Klettaskóli,Reykjavíkurborg,0.818,,,,false,false,false,true,true,No exact or high-confidence fuzzy match accepted.
Vættaskóli - Engi,vaettaskoli engi,,,,,,,true,true,true,false,false,No exact or high-confidence fuzzy match accepted.
Varmalandsskóli,varmalandsskoli,Áslandsskóli,Hafnarfjarðarkaupstaður,0.815,Varmahlíðaskóli,Sveitarfélagið Skagafjörður,0.800,false,false,false,true,true,No exact or high-confidence fuzzy match accepted.
Vesturhlíðarskóli,vesturhlidarskoli,Suðurhlíðaskóli,Reykjavíkurborg,0.812,Hlíðarskóli,Akureyrarkaupstaður,0.786,false,false,false,true,true,No exact or high-confidence fuzzy match accepted.
Víkurskóli,vikurskoli,Víkurskóli,Reykjavíkurborg,1.000,Víkurskóli,Mýrdalshreppur,1.000,true,true,true,false,false,No exact or high-confidence fuzzy match accepted.
Víkurskóli (Reykjavík),vikurskoli reykjavik,,,,,,,false,false,false,true,true,No exact or high-confidence fuzzy match accepted.
"Víkurskóli, Vík í Mýrdal",vikurskoli vik i myrdal,,,,,,,true,false,false,false,false,No exact or high-confidence fuzzy match accepted.
Víkurskóli (Vík í Mýrdal),vikurskoli vik i myrdal,,,,,,,false,false,false,true,true,No exact or high-confidence fuzzy match accepted.
Villingaholtsskóli,villingaholtsskoli,Langholtsskóli,Reykjavíkurborg,0.812,,,,false,false,false,true,true,No exact or high-confidence fuzzy match accepted.
