source_school_name,normalized_school_name,possible_match_1,possible_match_1_sveitarfelag,possible_match_1_score,possible_match_1_recent_10th_grade_count,possible_match_2,possible_match_2_sveitarfelag,possible_match_2_score,possible_match_2_recent_10th_grade_count,althingi_graduate_count,size_evidence_note,in_althingi_graduates,in_althingi_framhaldsskoli_grunnskoli,in_althingi_grunnskoli_grades,in_hagstofa_student_counts,in_hagstofa_10th_grade_counts,notes
Grunnskólinn Tjarnarlundi,grunnskolinn tjarnarlundi,,,,,,,,,,,false,false,false,true,true,"No exact, rule, municipality, or high-confidence fuzzy match accepted. Reference-only Hagstofa row; not needed for current analysis."
Hafnarskóli,hafnarskoli,Arnarskóli,Kópavogsbær,0.857,5,Hagaskóli,Reykjavíkurborg,0.800,195,,,false,false,false,true,true,"No exact, rule, municipality, or high-confidence fuzzy match accepted. Reference-only Hagstofa row; not needed for current analysis."
Hallormsstaðaskóli,hallormsstadaskoli,,,,,,,,,,,false,false,false,true,true,"No exact, rule, municipality, or high-confidence fuzzy match accepted. Reference-only Hagstofa row; not needed for current analysis."
Hamarsskóli Vestmannaeyjum,hamarsskoli vestmannaeyjum,Grunnskóli Vestmannaeyja/Barnaskólinn,Vestmannaeyjabær,0.800,41,,,,,,,false,false,false,true,true,"No exact, rule, municipality, or high-confidence fuzzy match accepted. Reference-only Hagstofa row; not needed for current analysis."
Heppuskóli,heppuskoli,,,,,,,,,,,false,false,false,true,true,"No exact, rule, municipality, or high-confidence fuzzy match accepted. Reference-only Hagstofa row; not needed for current analysis."
Hjallaskóli,hjallaskoli,Vallaskóli,Sveitarfélagið Árborg,0.857,65,Hagaskóli,Reykjavíkurborg,0.800,195,,,false,false,false,true,true,"No exact, rule, municipality, or high-confidence fuzzy match accepted. Reference-only Hagstofa row; not needed for current analysis."
Hlíðarhúsaskóli,hlidarhusaskoli,Hlíðarskóli,Akureyrarkaupstaður,0.846,3,Hlíðaskóli,Reykjavíkurborg,0.800,72,,,false,false,false,true,true,"No exact, rule, municipality, or high-confidence fuzzy match accepted. Reference-only Hagstofa row; not needed for current analysis."
Hrollaugsstaðaskóli,hrollaugsstadaskoli,,,,,,,,,,,false,false,false,true,true,"No exact, rule, municipality, or high-confidence fuzzy match accepted. Reference-only Hagstofa row; not needed for current analysis."
Húsabakkaskóli,husabakkaskoli,Húsaskóli,Reykjavíkurborg,0.783,0,,,,,,,false,false,false,true,true,"No exact, rule, municipality, or high-confidence fuzzy match accepted. Reference-only Hagstofa row; not needed for current analysis."
Kelduskóli,kelduskoli,,,,,,,,,,,false,false,false,true,true,"No exact, rule, municipality, or high-confidence fuzzy match accepted. Reference-only Hagstofa row; not needed for current analysis."
Kleppjárnsreykjaskóli,kleppjarnsreykjaskoli,,,,,,,,,,,false,false,false,true,true,"No exact, rule, municipality, or high-confidence fuzzy match accepted. Reference-only Hagstofa row; not needed for current analysis."
Kópaskersskóli,kopaskersskoli,,,,,,,,,,,false,false,false,true,true,"No exact, rule, municipality, or high-confidence fuzzy match accepted. Reference-only Hagstofa row; not needed for current analysis."
Korpuskóli,korpuskoli,Kóraskóli,Kópavogsbær,0.842,73,,,,,,,false,false,false,true,true,"No exact, rule, municipality, or high-confidence fuzzy match accepted. Reference-only Hagstofa row; not needed for current analysis."
Laugargerðisskóli,laugargerdisskoli,Laugarnesskóli,Reykjavíkurborg,0.839,0,,,,,,,false,false,false,true,true,"No exact, rule, municipality, or high-confidence fuzzy match accepted. Reference-only Hagstofa row; not needed for current analysis."
Litlulaugaskóli,litlulaugaskoli,,,,,,,,,,,false,false,false,true,true,"No exact, rule, municipality, or high-confidence fuzzy match accepted. Reference-only Hagstofa row; not needed for current analysis."
Ljósafossskóli,ljosafossskoli,,,,,,,,,,,false,false,false,true,true,"No exact, rule, municipality, or high-confidence fuzzy match accepted. Reference-only Hagstofa row; not needed for current analysis."
Lýsuhólsskóli,lysuholsskoli,Álfhólsskóli,Kópavogsbær,0.800,65,Hvolsskóli,Rangárþing eystra,0.783,19,,,false,false,false,true,true,"No exact, rule, municipality, or high-confidence fuzzy match accepted. Reference-only Hagstofa row; not needed for current analysis."
Meðferðarheimilið á Torfastöðum,medferdarheimilid a torfastodum,,,,,,,,,,,false,false,false,true,true,"No exact, rule, municipality, or high-confidence fuzzy match accepted. Reference-only Hagstofa row; not needed for current analysis."
Nesjaskóli,nesjaskoli,Nesskóli,Fjarðabyggð,0.889,27,Engjaskóli,Reykjavíkurborg,0.800,0,,,false,false,false,true,true,"No exact, rule, municipality, or high-confidence fuzzy match accepted. Reference-only Hagstofa row; not needed for current analysis."
Öskjuhlíðarskóli,oskjuhlidarskoli,Hlíðarskóli,Akureyrarkaupstaður,0.815,3,Reykjahlíðarskóli,Skútustaðahreppur,0.788,1,,,false,false,false,true,true,"No exact, rule, municipality, or high-confidence fuzzy match accepted. Reference-only Hagstofa row; not needed for current analysis."
Reykjavík International School,reykjavik international school,,,,,,,,,,,false,false,false,true,true,"No exact, rule, municipality, or high-confidence fuzzy match accepted. Reference-only Hagstofa row; not needed for current analysis."
Safamýrarskóli,safamyrarskoli,Álftamýrarskóli,Reykjavíkurborg,0.897,50,,,,,,,false,false,false,true,true,"No exact, rule, municipality, or high-confidence fuzzy match accepted. Reference-only Hagstofa row; not needed for current analysis."
Sandvíkurskóli,sandvikurskoli,Súðavíkurskóli,Súðavík,0.857,1,Víkurskóli,Mýrdalshreppur,0.833,6,,,false,false,false,true,true,"No exact, rule, municipality, or high-confidence fuzzy match accepted. Reference-only Hagstofa row; not needed for current analysis."
