year,svnr,sveitarfelag_source,sveitarfelag_harmonized,sveitarfelag_harmonization_status,sveitarfelag_harmonization_note,grunnskoli,grade_span,school_size_group,student_count,tekjur,laun_og_launtengd_gjold,annar_kostnadur_samtals,annar_kostnadur_an_innri_leigu_og_skolaakstur,innri_husaleiga_eignasjodur,skolaakstur,kostnadur_brutto,kostnadur_netto
2024,8401,Sveitarfélagið Hornafjörður,Sveitarfélagið Hornafjörður,unchanged,Already current for project joins.,Grunnskólinn í Hofgarði,1-10,0 - 20,4,-119416,24713508,26039772,6543105,8508996,10987671,50753280,50633864
2024,5609,Sveitarfélagið Skagaströnd,Sveitarfélagið Skagaströnd,unchanged,Already current for project joins.,Höfðaskóli,1-10,51 - 100,65,-32658648,234193980,32222868,20640718,11582150,,266416848,233758200
2024,3716,Sveitarfélagið Stykkishólmur,Sveitarfélagið Stykkishólmur,unchanged,No project-local harmonization needed; carried forward as current/source name.,Grunnskólinn í Stykkishólmi,1-10,101 - 200,176,-43258268,449766593,118475049,76077513,36710724,5686812,568241642,524983374
2024,2506,Sveitarfélagið Vogar,Sveitarfélagið Vogar,unchanged,Already current for project joins.,Stóru-Vogaskóli,1-10,201 - 300,218,-2853021,437009075,163478037,79568985,83909052,,600487112,597634091
2024,8200,Sveitarfélagið Árborg,Sveitarfélagið Árborg,unchanged,Already current for project joins.,Barnaskólinn á Eb. og Stk.,1-10,101 - 200,145,-74832961,435759072,294065786,126685003,132695864,34684919,729824858,654991897
2024,8200,Sveitarfélagið Árborg,Sveitarfélagið Árborg,unchanged,Already current for project joins.,Stekkjaskóli,1-4,201 - 300,293,-81031546,631836369,381870187,204217357,159825546,17827284,1013706556,932675010
2024,8200,Sveitarfélagið Árborg,Sveitarfélagið Árborg,unchanged,Already current for project joins.,Sunnulækjarskóli,1-10,601 >,636,-265809373,1431101272,590173909,305837024,250400640,33936245,2021275181,1755465808
2024,8200,Sveitarfélagið Árborg,Sveitarfélagið Árborg,unchanged,Already current for project joins.,Vallaskóli,1-10,501 - 600,524,-96622386,1092482106,493962127,246630939,241720096,5611092,1586444233,1489821847
2024,8717,Sveitarfélagið Ölfus,Sveitarfélagið Ölfus,unchanged,Already current for project joins.,Grunnskólinn í Þorlákshöfn,1-10,201 - 300,268,-36452031,600749904,189552043,122831911,65784996,935136,790301947,753849916
2024,4803,Súðavíkurhreppur,Súðavíkurhreppur,unchanged,No project-local harmonization needed; carried forward as current/source name.,Súðavíkurskóli,1-10,0 - 20,12,-2261371,52238780,17573975,11488941,4804000,1281034,69812755,67551384
2024,8000,Vestmannaeyjabær,Vestmannaeyjabær,unchanged,Already current for project joins.,Grunnskóli Vestmannaeyja,1-10,501 - 600,540,-46289117,1071094551,378761704,134261704,244500000,,1449856255,1403567138
2024,4604,Vesturbyggð,Vesturbyggð,unchanged,Already current for project joins.,Bíldudalsskóli,1-10,0 - 20,19,-4645860,86172062,23551195,21346880,1764315,440000,109723257,105077397
2024,4604,Vesturbyggð,Vesturbyggð,unchanged,Already current for project joins.,Patreksskóli,1-10,51 - 100,93,-7467096,205928526,88605366,50223472,37993394,388500,294533892,287066796
2024,4604,Vesturbyggð,Vesturbyggð,unchanged,Already current for project joins.,Tálknafjarðarskóli,1-10,21 - 50,21,-1673460,90406501,43092125,16544558,26547567,,133498626,131825166
2024,7502,Vopnafjarðarhreppur,Vopnafjarðarhreppur,unchanged,Already current for project joins.,Vopnafjarðarskóli,1-10,51 - 100,74,-9136294,227778507,113784278,44101097,46105371,23577810,341562785,332426491
2024,4200,Ísafjarðarbær,Ísafjarðarbær,unchanged,Already current for project joins.,Grunnskóli Önundarfjarðar,1-10,0 - 20,10,-5995592,51648567,29513908,12775944,16707964,30000,81162475,75166883
2024,4200,Ísafjarðarbær,Ísafjarðarbær,unchanged,Already current for project joins.,Grunnskólinn Þingeyri,1-10,21 - 50,41,-4775981,110223788,47068391,27734431,18544360,789600,157292179,152516198
2024,4200,Ísafjarðarbær,Ísafjarðarbær,unchanged,Already current for project joins.,Grunnskólinn á Suðureyri,1-10,21 - 50,36,-4705002,88343791,38730096,19893277,17132756,1704063,127073887,122368885
2024,4200,Ísafjarðarbær,Ísafjarðarbær,unchanged,Already current for project joins.,Grunnskólinn á Ísafirði,1-10,301 - 400,395,-70886750,728725774,328067496,131384274,162846792,33836430,1056793270,985906520
2024,6613,Þingeyjarsveit,Þingeyjarsveit,unchanged,Already current for project joins.,Reykjahlíðarskóli,1-10,21 - 50,41,-9153286,151736154,71425959,24184295,31252151,15989513,223162113,214008827
2024,6613,Þingeyjarsveit,Þingeyjarsveit,unchanged,Already current for project joins.,Stórutjarnarskóli,1-10,21 - 50,29,-14249335,182467380,108331743,31458169,30629348,46244226,290799123,276549788
2024,6613,Þingeyjarsveit,Þingeyjarsveit,unchanged,Already current for project joins.,Þingeyjaskóli,1-10,51 - 100,73,-25845305,290385626,145321460,43599677,42673429,59048354,435707086,409861781
