source_school_name,canonical_school_name,sveitarfelag_harmonized,sveitarfelag_source,mapping_priority,match_status,match_confidence,match_source,graduate_count,average_grunnskoli_icelandic_grade,average_grunnskoli_math_grade,framhaldsskoli_grunnskoli_row_count,framhaldsskoli_grunnskoli_student_count,has_graduates_table_row,has_grades_by_grunnskoli_row,has_framhaldsskoli_grunnskoli_rows,is_excluded_group_or_aggregate,notes,source_url,source_note
Grunnskóli Grundarfjarðar,Grunnskóli Grundarfjarðar,Grundarfjarðarbær,Grundarfjarðarbær,analysis_required,matched_exact,1.000,samband_grunnskolar_excel,7,3.3,2.9,1,5,true,true,true,false,Exact normalized match.,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Alþingi PDF candidate school-level output joined to the Phase 4 school crosswalk. Rows are extraction candidates; do not treat graduate counts as true graduation rates.
Grunnskóli Hornafjarðar,Grunnskóli Hornafjarðar,Sveitarfélagið Hornafjörður,Sveitarfélagið Hornafjörður,analysis_required,matched_exact,1.000,samband_grunnskolar_excel,16,3.2,3.5,1,7,true,true,true,false,Exact normalized match.,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Alþingi PDF candidate school-level output joined to the Phase 4 school crosswalk. Rows are extraction candidates; do not treat graduate counts as true graduation rates.
Grunnskóli Húnaþings vestra,Grunnskóli Húnaþings vestra,Húnaþing vestra,Húnaþing vestra,analysis_required,matched_exact,1.000,samband_grunnskolar_excel,7,3.0,2.9,0,,true,true,false,false,Exact normalized match.,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Alþingi PDF candidate school-level output joined to the Phase 4 school crosswalk. Rows are extraction candidates; do not treat graduate counts as true graduation rates.
Grunnskóli Reyðarfjarðar,Grunnskóli Reyðarfjarðar,Fjarðabyggð,Fjarðabyggð,analysis_required,matched_exact,1.000,samband_grunnskolar_excel,10,3.2,3.0,0,,true,true,false,false,Exact normalized match.,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Alþingi PDF candidate school-level output joined to the Phase 4 school crosswalk. Rows are extraction candidates; do not treat graduate counts as true graduation rates.
Grunnskóli Seltjarnarness,,Seltjarnarnesbær,Seltjarnarneskaupstaður,analysis_required,matched_municipality_rule_canonical_uncertain,,municipality_location_hint,29,3.3,3.8,2,21,true,true,true,false,Sveitarfelag assigned from explicit location signal in source name; canonical school remains uncertain.,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Alþingi PDF candidate school-level output joined to the Phase 4 school crosswalk. Rows are extraction candidates; do not treat graduate counts as true graduation rates.
Grunnskóli Snæfellsbæjar,Grunnskóli Snæfellsbæjar,Snæfellsbær,Snæfellsbær,analysis_required,matched_exact,1.000,samband_grunnskolar_excel,18,3.2,2.9,1,8,true,true,true,false,Exact normalized match.,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Alþingi PDF candidate school-level output joined to the Phase 4 school crosswalk. Rows are extraction candidates; do not treat graduate counts as true graduation rates.
Grunnskóli Vestmannaeyja,Grunnskóli Vestmannaeyja/Barnaskólinn,Vestmannaeyjabær,Vestmannaeyjabær,analysis_required,matched_exact,1.000,samband_grunnskolar_excel,31,3.3,3.2,1,18,true,true,true,false,Exact normalized match.,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Alþingi PDF candidate school-level output joined to the Phase 4 school crosswalk. Rows are extraction candidates; do not treat graduate counts as true graduation rates.
Grunnskóli Vesturbyggðar,,Vesturbyggð,Vesturbyggð,analysis_required,matched_municipality_rule_canonical_uncertain,,municipality_location_hint,4,,,0,,true,false,false,false,Sveitarfelag assigned from explicit location signal in source name; canonical school remains uncertain.,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Alþingi PDF candidate school-level output joined to the Phase 4 school crosswalk. Rows are extraction candidates; do not treat graduate counts as true graduation rates.
Grunnskólinn Hellu,Grunnskólinn á Hellu,Rangárþing ytra,Rangárþing ytra,analysis_required,matched_rule,1.000,samband_grunnskolar_excel_alias,11,3.1,2.6,0,,true,true,false,false,"Matched by conservative alias rule: slash, parenthetical, or Grunnskólinn/Grunnskóli variant.",https://www.althingi.is/altext/pdf/157/s/1182.pdf,Alþingi PDF candidate school-level output joined to the Phase 4 school crosswalk. Rows are extraction candidates; do not treat graduate counts as true graduation rates.
Grunnskólinn austan Vatna,Grunnskólinn austan Vatna,Skagafjörður,Sveitarfélagið Skagafjörður,analysis_required,matched_exact,1.000,samband_grunnskolar_excel,4,,,0,,true,false,false,false,Exact normalized match.,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Alþingi PDF candidate school-level output joined to the Phase 4 school crosswalk. Rows are extraction candidates; do not treat graduate counts as true graduation rates.
Grunnskólinn á Eskifirði,Grunnskóli Eskifjarðar,Fjarðabyggð,Fjarðabyggð,analysis_required,matched_manual,1.000,data/manual/manual_school_crosswalk.csv,4,,,0,,true,false,false,false,Same school/name variant.,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Alþingi PDF candidate school-level output joined to the Phase 4 school crosswalk. Rows are extraction candidates; do not treat graduate counts as true graduation rates.
Grunnskólinn á Suðureyri,Grunnskólinn á Suðureyri,Ísafjarðarbær,Ísafjarðarbær,analysis_required,matched_exact,1.000,samband_grunnskolar_excel,5,2.9,2.9,0,,true,true,false,false,Exact normalized match.,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Alþingi PDF candidate school-level output joined to the Phase 4 school crosswalk. Rows are extraction candidates; do not treat graduate counts as true graduation rates.
Grunnskólinn á Ísafirði,Grunnskólinn á Ísafirði,Ísafjarðarbær,Ísafjarðarbær,analysis_required,matched_exact,1.000,samband_grunnskolar_excel,26,2.6,2.3,1,23,true,true,true,false,Exact normalized match.,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Alþingi PDF candidate school-level output joined to the Phase 4 school crosswalk. Rows are extraction candidates; do not treat graduate counts as true graduation rates.
