source_school_name,canonical_school_name,sveitarfelag_harmonized,sveitarfelag_source,mapping_priority,match_status,match_confidence,match_source,graduate_count,average_grunnskoli_icelandic_grade,average_grunnskoli_math_grade,framhaldsskoli_grunnskoli_row_count,framhaldsskoli_grunnskoli_student_count,has_graduates_table_row,has_grades_by_grunnskoli_row,has_framhaldsskoli_grunnskoli_rows,is_excluded_group_or_aggregate,notes,source_url,source_note
Waldorfskólinn Sólstafir,Waldorfskólinn Sólstafir,Reykjavíkurborg,Reykjavíkurborg,analysis_required,matched_exact,1.000,samband_grunnskolar_excel,4,,,0,,true,false,false,false,Exact normalized match.,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Alþingi PDF candidate school-level output joined to the Phase 4 school crosswalk. Rows are extraction candidates; do not treat graduate counts as true graduation rates.
Waldorfskólinn í Lækjarbotnum,Waldorfskólinn Lækjarbotnum,Kópavogsbær,Kópavogsbær,analysis_required,matched_fuzzy_high_confidence,0.966,samband_grunnskolar_excel,5,3.0,3.3,0,,true,true,false,false,High-confidence fuzzy normalized match; review optional.,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Alþingi PDF candidate school-level output joined to the Phase 4 school crosswalk. Rows are extraction candidates; do not treat graduate counts as true graduation rates.
Álfhólsskóli,Álfhólsskóli,Kópavogsbær,Kópavogsbær,analysis_required,matched_exact,1.000,samband_grunnskolar_excel,27,3.3,3.4,1,5,true,true,true,false,Exact normalized match.,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Alþingi PDF candidate school-level output joined to the Phase 4 school crosswalk. Rows are extraction candidates; do not treat graduate counts as true graduation rates.
Álftamýrarskóli,Álftamýrarskóli,Reykjavíkurborg,Reykjavíkurborg,analysis_required,matched_exact,1.000,samband_grunnskolar_excel,9,3.1,3.6,0,,true,true,false,false,Exact normalized match.,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Alþingi PDF candidate school-level output joined to the Phase 4 school crosswalk. Rows are extraction candidates; do not treat graduate counts as true graduation rates.
Álftanesskóli,Álftanesskóli,Garðabær,Garðabær,analysis_required,matched_exact,1.000,samband_grunnskolar_excel,30,3.3,3.1,3,23,true,true,true,false,Exact normalized match.,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Alþingi PDF candidate school-level output joined to the Phase 4 school crosswalk. Rows are extraction candidates; do not treat graduate counts as true graduation rates.
Árbæjarskóli,Árbæjarskóli,Reykjavíkurborg,Reykjavíkurborg,analysis_required,matched_exact,1.000,samband_grunnskolar_excel,63,3.3,3.2,4,46,true,true,true,false,Exact normalized match.,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Alþingi PDF candidate school-level output joined to the Phase 4 school crosswalk. Rows are extraction candidates; do not treat graduate counts as true graduation rates.
Árskóli,Árskóli,Skagafjörður,Sveitarfélagið Skagafjörður,analysis_required,matched_exact,1.000,samband_grunnskolar_excel,30,3.2,3.2,1,28,true,true,true,false,Exact normalized match.,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Alþingi PDF candidate school-level output joined to the Phase 4 school crosswalk. Rows are extraction candidates; do not treat graduate counts as true graduation rates.
Áslandsskóli,Áslandsskóli,Hafnarfjarðarkaupstaður,Hafnarfjarðarkaupstaður,analysis_required,matched_exact,1.000,samband_grunnskolar_excel,31,3.4,3.6,2,22,true,true,true,false,Exact normalized match.,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Alþingi PDF candidate school-level output joined to the Phase 4 school crosswalk. Rows are extraction candidates; do not treat graduate counts as true graduation rates.
Ölduselsskóli,Ölduselsskóli,Reykjavíkurborg,Reykjavíkurborg,analysis_required,matched_exact,1.000,samband_grunnskolar_excel,23,3.4,3.6,2,11,true,true,true,false,Exact normalized match.,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Alþingi PDF candidate school-level output joined to the Phase 4 school crosswalk. Rows are extraction candidates; do not treat graduate counts as true graduation rates.
Öldutúnsskóli,Öldutúnsskóli,Hafnarfjarðarkaupstaður,Hafnarfjarðarkaupstaður,analysis_required,matched_exact,1.000,samband_grunnskolar_excel,26,3.0,3.0,2,14,true,true,true,false,Exact normalized match.,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Alþingi PDF candidate school-level output joined to the Phase 4 school crosswalk. Rows are extraction candidates; do not treat graduate counts as true graduation rates.
Þelamerkurskóli,Þelamerkurskóli,Hörgársveit,Hörgársveit,analysis_required,matched_exact,1.000,samband_grunnskolar_excel,3,,,0,,true,false,false,false,Exact normalized match.,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Alþingi PDF candidate school-level output joined to the Phase 4 school crosswalk. Rows are extraction candidates; do not treat graduate counts as true graduation rates.
