source_school_name,normalized_school_name,mapping_priority,canonical_school_name,sveitarfelag,sveitarfelag_source,sveitarfelag_harmonized,sveitarfelag_harmonization_status,sveitarfelag_harmonization_note,in_althingi_graduates,in_althingi_framhaldsskoli_grunnskoli,in_althingi_grunnskoli_grades,in_hagstofa_student_counts,in_hagstofa_10th_grade_counts,match_status,match_confidence,match_source,althingi_graduate_count,size_evidence_note,notes
Garðaskóli,gardaskoli,analysis_required,Garðaskóli,Garðabær,Garðabær,Garðabær,unchanged,Already current for project joins.,true,true,true,true,true,matched_exact,1.000,samband_grunnskolar_excel,142,,Exact normalized match.
Gaulverjaskóli,gaulverjaskoli,reference_only,,,,,,,false,false,false,true,true,needs_manual_review,0.800,,,,"No exact, rule, municipality, or high-confidence fuzzy match accepted."
Gerðaskóli,gerdaskoli,analysis_required,Gerðaskóli,Sveitarfélagið Garður,Sveitarfélagið Garður,Suðurnesjabær,harmonized,Former municipality; now Suðurnesjabær.,true,false,true,true,true,matched_exact,1.000,samband_grunnskolar_excel,6,,Exact normalized match.
Giljaskóli,giljaskoli,analysis_required,Giljaskóli,Akureyrarkaupstaður,Akureyrarkaupstaður,Akureyrarbær,harmonized,Current official municipality name.,true,true,true,true,true,matched_exact,1.000,samband_grunnskolar_excel,23,,Exact normalized match.
Glerárskóli,glerarskoli,analysis_required,Glerárskóli,Akureyrarkaupstaður,Akureyrarkaupstaður,Akureyrarbær,harmonized,Current official municipality name.,true,true,true,true,true,matched_exact,1.000,samband_grunnskolar_excel,15,,Exact normalized match.
Gnúpverjaskóli,gnupverjaskoli,reference_only,,,,,,,false,false,false,true,true,needs_manual_review,,,,,"No exact, rule, municipality, or high-confidence fuzzy match accepted."
Grandaskóli,grandaskoli,reference_only,Grandaskóli,Reykjavíkurborg,Reykjavíkurborg,Reykjavíkurborg,unchanged,Already current for project joins.,false,false,false,true,true,matched_exact,1.000,samband_grunnskolar_excel,,,Exact normalized match.
Grenivíkurskóli,grenivikurskoli,analysis_required,Grenivíkurskóli,Grýtubakkahreppur,Grýtubakkahreppur,Grýtubakkahreppur,unchanged,Already current for project joins.,true,false,false,true,true,matched_exact,1.000,samband_grunnskolar_excel,2,,Exact normalized match.
Grundaskóli,grundaskoli,analysis_required,Grundaskóli,Akraneskaupstaður,Akraneskaupstaður,Akraneskaupstaður,unchanged,Already current for project joins.,true,true,true,true,true,matched_exact,1.000,samband_grunnskolar_excel,51,,Exact normalized match.
Grunnskóli Akrahrepps,grunnskoli akrahrepps,reference_only,,,,,,,false,false,false,true,true,needs_manual_review,,,,,"No exact, rule, municipality, or high-confidence fuzzy match accepted."
Grunnskóli Bláskógabyggðar/Bláskógaskóli,grunnskoli blaskogabyggdar blaskogaskoli,reference_only,,,,,,,false,false,false,true,true,needs_manual_review,,,,,"No exact, rule, municipality, or high-confidence fuzzy match accepted."
Grunnskóli Bolungarvíkur,grunnskoli bolungarvikur,analysis_required,Grunnskólinn í Bolungarvík,Bolungarvík,Bolungarvík,Bolungarvíkurkaupstaður,harmonized,Current official municipality name.,true,true,true,true,true,matched_fuzzy_high_confidence,0.957,samband_grunnskolar_excel,7,,High-confidence fuzzy normalized match; review optional.
Grunnskóli Borgarfjarðar,grunnskoli borgarfjardar,analysis_required,Grunnskóli Borgarfjarðar,Borgarbyggð,Borgarbyggð,Borgarbyggð,unchanged,Already current for project joins.,true,false,true,true,true,matched_exact,1.000,samband_grunnskolar_excel,9,,Exact normalized match.
Grunnskóli Borgarfjarðar-eystri,grunnskoli borgarfjardar eystri,analysis_required,Grunnskóli Borgarfjarðar eystri,Múlaþing (Borgarfjarðarhreppur),Múlaþing (Borgarfjarðarhreppur),Múlaþing,harmonized,Samband school list parenthetical source area collapsed to current municipality.,true,false,false,false,false,matched_exact,1.000,samband_grunnskolar_excel,1,,Exact normalized match.
Grunnskóli Borgarfjarðar eystri,grunnskoli borgarfjardar eystri,reference_only,Grunnskóli Borgarfjarðar eystri,Múlaþing (Borgarfjarðarhreppur),Múlaþing (Borgarfjarðarhreppur),Múlaþing,harmonized,Samband school list parenthetical source area collapsed to current municipality.,false,false,false,true,true,matched_exact,1.000,samband_grunnskolar_excel,,,Exact normalized match.
Grunnskóli Dalvíkurbyggðar,grunnskoli dalvikurbyggdar,reference_only,,,,,,,false,false,false,true,true,needs_manual_review,0.800,,,,"No exact, rule, municipality, or high-confidence fuzzy match accepted."
Grunnskóli Djúpavogs,grunnskoli djupavogs,analysis_required,Djúpavogsskóli,Múlaþing,Múlaþing,Múlaþing,unchanged,Already current for project joins.,true,false,false,false,false,matched_manual,1.000,data/manual/manual_school_crosswalk.csv,1,,Current municipality harmonized to Múlaþing.
Grunnskóli Drangsness,grunnskoli drangsness,reference_only,Grunnskóli Drangsnes,Kaldrananeshreppur,Kaldrananeshreppur,Kaldrananeshreppur,unchanged,Already current for project joins.,false,false,false,true,true,matched_fuzzy_high_confidence,0.976,samband_grunnskolar_excel,,,High-confidence fuzzy normalized match; review optional.
Grunnskóli Fáskrúðsfjarðar,grunnskoli faskrudsfjardar,reference_only,Grunnskóli Fáskrúðsfjarðar,Fjarðabyggð,Fjarðabyggð,Fjarðabyggð,unchanged,Already current for project joins.,false,false,false,true,true,matched_exact,1.000,samband_grunnskolar_excel,,,Exact normalized match.
Grunnskóli Fjallabyggðar,grunnskoli fjallabyggdar,analysis_required,Grunnskóli Fjallabyggðar,Fjallabyggð,Fjallabyggð,Fjallabyggð,unchanged,Already current for project joins.,true,false,true,true,true,matched_exact,1.000,samband_grunnskolar_excel,6,,Exact normalized match.
Grunnskóli Grindavíkur,grunnskoli grindavikur,analysis_required,,Grindavíkurbær,Grindavíkurbær,Grindavíkurbær,unchanged,Already current for project joins.,true,true,true,true,true,matched_municipality_rule_canonical_uncertain,,municipality_location_hint,26,,Sveitarfelag assigned from explicit location signal in source name; canonical school remains uncertain.
Grunnskóli Grundarfjarðar,grunnskoli grundarfjardar,analysis_required,Grunnskóli Grundarfjarðar,Grundarfjarðarbær,Grundarfjarðarbær,Grundarfjarðarbær,unchanged,Already current for project joins.,true,true,true,true,true,matched_exact,1.000,samband_grunnskolar_excel,7,,Exact normalized match.
Grunnskóli Hornafjarðar,grunnskoli hornafjardar,analysis_required,Grunnskóli Hornafjarðar,Sveitarfélagið Hornafjörður,Sveitarfélagið Hornafjörður,Sveitarfélagið Hornafjörður,unchanged,Already current for project joins.,true,true,true,true,true,matched_exact,1.000,samband_grunnskolar_excel,16,,Exact normalized match.
Grunnskóli Húnaþings vestra,grunnskoli hunathings vestra,analysis_required,Grunnskóli Húnaþings vestra,Húnaþing vestra,Húnaþing vestra,Húnaþing vestra,unchanged,Already current for project joins.,true,false,true,true,true,matched_exact,1.000,samband_grunnskolar_excel,7,,Exact normalized match.
Grunnskóli Mjóafjarðar,grunnskoli mjoafjardar,reference_only,,,,,,,false,false,false,true,true,needs_manual_review,0.889,,,,"No exact, rule, municipality, or high-confidence fuzzy match accepted."
Grunnskóli Önundarfjarðar,grunnskoli onundarfjardar,reference_only,,,,,,,false,false,false,true,true,needs_manual_review,0.920,,,,"No exact, rule, municipality, or high-confidence fuzzy match accepted."
Grunnskóli Raufarhafnar,grunnskoli raufarhafnar,reference_only,,,,,,,false,false,false,true,true,needs_manual_review,0.783,,,,"No exact, rule, municipality, or high-confidence fuzzy match accepted."
Grunnskóli Reyðarfjarðar,grunnskoli reydarfjardar,analysis_required,Grunnskóli Reyðarfjarðar,Fjarðabyggð,Fjarðabyggð,Fjarðabyggð,unchanged,Already current for project joins.,true,false,true,true,true,matched_exact,1.000,samband_grunnskolar_excel,10,,Exact normalized match.
Grunnskóli Seltjarnarness,grunnskoli seltjarnarness,analysis_required,,Seltjarnarneskaupstaður,Seltjarnarneskaupstaður,Seltjarnarnesbær,harmonized,Current official municipality name.,true,true,true,true,true,matched_municipality_rule_canonical_uncertain,,municipality_location_hint,29,,Sveitarfelag assigned from explicit location signal in source name; canonical school remains uncertain.
Grunnskóli Siglufjarðar,grunnskoli siglufjardar,reference_only,,,,,,,false,false,false,true,true,needs_manual_review,0.889,,,,"No exact, rule, municipality, or high-confidence fuzzy match accepted."
Grunnskóli Snæfellsbæjar,grunnskoli snaefellsbaejar,analysis_required,Grunnskóli Snæfellsbæjar,Snæfellsbær,Snæfellsbær,Snæfellsbær,unchanged,Already current for project joins.,true,true,true,true,true,matched_exact,1.000,samband_grunnskolar_excel,18,,Exact normalized match.
Grunnskóli Vestmannaeyja,grunnskoli vestmannaeyja,analysis_required,Grunnskóli Vestmannaeyja/Barnaskólinn,Vestmannaeyjabær,Vestmannaeyjabær,Vestmannaeyjabær,unchanged,Already current for project joins.,true,true,true,true,true,matched_exact,1.000,samband_grunnskolar_excel,31,,Exact normalized match.
Grunnskóli Vesturbyggðar,grunnskoli vesturbyggdar,analysis_required,,Vesturbyggð,Vesturbyggð,Vesturbyggð,unchanged,Already current for project joins.,true,false,false,false,false,matched_municipality_rule_canonical_uncertain,,municipality_location_hint,4,,Sveitarfelag assigned from explicit location signal in source name; canonical school remains uncertain.
Grunnskólinn á Bakkafirði,grunnskolinn a bakkafirdi,reference_only,,,,,,,false,false,false,true,true,needs_manual_review,0.875,,,,"No exact, rule, municipality, or high-confidence fuzzy match accepted."
Grunnskólinn á Blönduósi/Blönduskóli,grunnskolinn a blonduosi blonduskoli,reference_only,,,,,,,false,false,false,true,true,needs_manual_review,,,,,"No exact, rule, municipality, or high-confidence fuzzy match accepted."
Grunnskólinn á Borðeyri,grunnskolinn a bordeyri,reference_only,,,,,,,false,false,false,true,true,needs_manual_review,0.851,,,,"No exact, rule, municipality, or high-confidence fuzzy match accepted."
Grunnskólinn á Eskifirði,grunnskolinn a eskifirdi,analysis_required,Grunnskóli Eskifjarðar,Fjarðabyggð,Fjarðabyggð,Fjarðabyggð,unchanged,Already current for project joins.,true,false,false,false,false,matched_manual,1.000,data/manual/manual_school_crosswalk.csv,4,,Same school/name variant.
Grunnskólinn á Hellissandi,grunnskolinn a hellissandi,reference_only,,,,,,,false,false,false,true,true,needs_manual_review,0.826,,,,"No exact, rule, municipality, or high-confidence fuzzy match accepted."
Grunnskólinn á Hólmavík,grunnskolinn a holmavik,reference_only,Grunnskólinn á Hólmavík,Strandabyggð,Strandabyggð,Strandabyggð,unchanged,Already current for project joins.,false,false,false,true,true,matched_exact,1.000,samband_grunnskolar_excel,,,Exact normalized match.
